english,hebrew
time,זמן
timeline,ציר זמן
timid,ביישן
tin,"בדיל, עשוי מפח"
tiny,קטנטן
title,כותרת
to begin with,בתור התחלה
to sum up,כדי לסכם
toad,קרפדה
toes,בהונות
together with,יחד עם
tolerance,סובלנות
tolerate,לסבול
tomb,קבר
tone,טון
tongue,לשון
too,גם
too,יותר מידי
topic,נושא
tormented,"לייסר, לענות"
totally,לחלוטין
touch,"מגע, לגעת"
tour,סיור
tourist,תייר
toward,"אל, אל עבר"
tower,מגדל
town,"עיר, עיירה"
toxic,רעיל
trace,"לעקוב, למצוא"
trace,"סימן, עִקְבָה"
track,לעקוב
trade,להחליף
trade,"לסחור, מסחר"
tradition,מסורת
traffic,תנועה
traffic jam,פקק תנועה
train,"להכשיר, לאמן"
train,רכבת
trait,תכונה
tranquilize,"להרגיע, להרדים"
transaction,עסקה
transcend,להתעלות
transcript,"תמליל, פרוטוקול"
transfer,העברה
transfer,להעביר
transform,לשנות צורה
transition,"מעבר, שינוי"
translate,לתרגם
translator,מתרגם
transmit,לשדר
transmitter,משדר
transparent,שקוף
transplant,לשתול
transport,הובלה
transport,להוביל
transportation,תחבורה
trap,מלכודת
treasure,"אוצר, לנצור"
treat,להתייחס
treat,לפנק
treat,"פינוק, ממתק"
treatment,טיפול
treaty,"אמנה, הסכם, חוזה"
trial,משפט
trial,נסיון
tribe,שבט
trigger,הדק
triggered  -,"גרם, עורר, הוביל ל"
trim,לגזום
trip,טיול
trip,למעוד
triumph,ניצחון
tropical,טרופי
truck,"משאית, קרון משא"
truly,באמת
trust,"אמון, לבטוח"
truth,אמת
tube,צינור
turn,"לפנות, סיבוב"
tutor,"מורה פרטי, להדריך"
twig,"ענף קטן, זרד"
twins,תאומים
twist,"סיבוך, סיבוב"
type,להקליד
type,סוג
typically,אופייני
ugly,מכוער
ultimate,"מוחלט, סופי"
unattractive,לא מושך
unaware,לא מודע
unbearable,בלתי נסבל
unbelievable,לא יאמן
uncertain,לא בטוח
uncharted,לא מתועד
uncle,דוד
unclear,לא ברור
unconcerned,לא מודאג
unconscious,מחוסר הכרה
unconventional,לא שיגרתי
uncountable,אינספור
uncover,"לחשוף, לגלות"
uncritical,לא ביקורתי
under,מתחת
underestimate,"הערכה נמוכה, לזלזל"
undergo,"לעבור, להתנסות, לחוות"
underlies  -,"מונח ביסוד, נמצא מתחת ל"
underneath,מתחת
understand,להבין
undertake,לקחת על עצמך
undoubtedly,ללא ספק
unearth,"לחשוף, לחפור"
unemployed,מובטל
unexplored,"לא נחקר, לא נבדק"
unfair,לא הוגן
unfamiliar,לא מוכר
unfold,לפתוח קיפול
unfold,"נפרש, נפתח, התגלה"
unforgettable,בלתי נשכח
unfortunate,מצער
unfortunately,למרבה הצער
unholy,"לא קדוש, לא מוסרי"
uniform,אחיד
uniform,מדים
unify,לאחד
unimaginable,בלתי נתפס
union,"איגוד, איחוד"
unique,מיוחד
universe,יקום
unjust,לא צודק
unless,אלא אם כן
unlike,שלא כמו
unlock,"לפתוח, לשחרר"
unnecessary,לא הכרחי
unofficial,בלתי רשמי
unorganized,לא מאורגן
unpardonable,בלתי נסלח
unrealistic,לא מציאותי
unrest,חוסר שקט
unsafe,לא בטוח
unstable,לא יציב
until  -,עד ש
until now,עד עתה
unusual,"בלתי רגיל, יוצא דופן"
unwanted,לא רצוי
unwilling,"לא מוכן, ממאן"
up,למעלה
upbringing,"גידול, חינוך"
update,"עדכון, לעדכן"
upgrade,לשדרג
upheaval,מהפך
uphold,"להחזיק, לתמוך, לדגול"
upholstery,ריפוד
upon,על
uprising,"התקוממות, מרד"
uproar,"רעש, מהומה"
upside down,הפוך
urban,עירוני
urge,"לעודד, לדחוף ; דחף, רצון, תשוקה"
urgent,דחוף
urine,שתן
use,להשתמש
use,לנצל
use,"תועלת, תכלית"
useful,שימושי
useless,חסר תועלת
usher,סדרן
using up,"לכלות, לנצל עד תום"
usual,רגיל
usually,בדרך- כלל
utilize,השתמש
utter,"לבטא, להגות"
vacant,"פנוי, ריק"
vacation,חופשה
vaccine,חיסון
vagueness,"עמימות, ערפול"
vain,לשווא
vain,שחצן
valid,תקף
validate,"אימת, נתן תוקף"
valley,עמק
valuable,יקר ערך
value,"ערך, להעריך"
valve,שסתום
vanish,להיעלם
variable,משתנה
variation,"שינוי, וריאציה"
variety,"מבחר, מגוון"
various,מגוון
vary,משתנה
vast,גדול
vegetable,ירק
vegetarian,צמחוני
vehicle,כלי רכב
venture,סיכון
veracity,"יושר, הגינות"
verbal,"ורבלי, מילולי"
verdict,"פסק דין, פסיקה"
verify,"לוודא, לאמת"
versions,גרסאות
vertebrate,בעל חוליות
vertical,מאונך
vessel,כלי שיט
vest,אפודה
veteran,ותיק
veteran,"חייל משוחרר, יוצא צבא"
via,דרך
vice versa,להיפך
victim,קורבן
victory,ניצחון
view,לראות
view,"נוף, שדה ראיה"
viewer,צופה
vigorously,במרץ
village,כפר
villain,"רשע, נבל"
vinegar,חומץ
violate,"להפר, לחלל"
violation,"עבירה, הפרה"
violence,אלימות
violent,אלים
viper,צפע
virtual,"מדומה, וירטואלי"
virtually,"למעשה, בעצם"
virtue,מעלה
visit,לבקר
visitor,"אורח, מבקר"
visual,חזותי
visualize,לדמיין
vital,חיוני
vivid,"חד, בהיר, ססגוני, שופע"
vocabulary,אוצר מילים
vocation,מקצוע
vociferous,רעשני
voice,"קול, להשמיע קול"
volume,כרך
volume,נפח
volume,עוצמת קול
volunteer,"להתנדב, מתנדב"
vote,"קול, הצבעה, להצביע"
voyage,מסע
vulnerable,פגיעות
wage,"לערוך, לנהל"
wage,משכורת
wagon,עגלה
wait,"להמתין, המתנה"
wall,קיר
wander,"להסתובב, לשוטט"
want,לרצות
wanted,מבוקש
war,מלחמה
ward,מחלקה
warfare,לוחמה
warmth,חום
warn,להזהיר
warning,אזהרה
warrior,לוחם
wart,יבלת
wasp,צרעה
waste,"בזבוז, לבזבז"
waste,הפסולת
watch,"להסתכל, להשגיח"
watch,שעון
waterfall,מפל
wave,גל
way,דרך
weaken,להחליש
wealth,עושר
wealthy,עשיר
weapon,נשק
wear,ללבוש
weather,מזג אוויר
weave,"לטוות, לארוג"
wedding,חתונה
weekend,סוף שבוע
weigh,לשקול
weight,משקל
welfare,סעד
well,באר
well,בריא
well,"טוב, היטב"
whale,לוויתן
what,"מה, איזה"
wheat,חיטה
when  -,"כאשר, כש"
whenever,"כש- , מתישהו"
where,"היכן, איפה"
where  -,בעוד ש
whereas  -,בעוד ש
wherever,"בכל מקום, לא משנה היכן"
which,איזה
which  -,"אשר, ש"
while,כל עוד
while  -,בזמן ש
whistle,"משרוקית, לשרוק"
who  -,"מי, ש"
wholesale,סיטונאות
whom,מי
whose,"אשר לו, אשר הוא"
why,מדוע
wickedly,ברשעות
wide,רחב
widely,בצורה נרחבת
widen,להרחיב
widespread,נפוץ
wife,"אישה, רעיה"
wild,"פראי, טבע"
wilderness,"ערבה, שממה"
wildlife,חיות בר
willing,מוכן
win,"ניצחון, לנצח"
wind,למתוח
wind,רוח
wine,יין
wing,כנף
winter,חורף
wisdom,"חכמה, בינה"
wise,"חכם, פיקח"
wish,"משאלה, לבקש"
with,"באמצעות, עם"
withdraw,"לסגת, לפרוש"
withhold,"לעכב, לעצור, לא לתת"
within,בתוך
without,"מבלי, ללא"
withstand  -,"להתמודד, לעמוד ב"
witness,"עד, להעיד"
wonder,"לתהות, להטיל ספק"
wonder,פלא
wonderful,נפלא
wood,עץ
woods,יער
wool,צמר
work,"עבודה, לעבוד"
worldwide,"כלל עולמי, בכל העולם"
worm,תולעת
worry,"דאגה, לדאוג"
worse,גרוע יותר
worthy,ראוי
wound,"מתוח, נמתח"
wound,פצע
wrap,"לעטוף, מעטפת"
writer,סופר
wrought,"מעוצב, מחושל"
yawn,"לפהק, פיהוק"
yet,"אך, אולם"
yet,"עדיין, בכל זאת"
yield,"להיכנע, לוותר, לסגת"
yield,"להניב, להפיק"
young,צעיר
zealot,"קנאי, פנט"
zone,אזור
zoo,גן חיות
